line_id;variant_id;me_id;candidate_id;quantity;unit;scope_note
PK01-A-L01;PK01-A;ME-01|ME-02|ME-03;PROP-E02;1;package;"300 metric hp crank / 289 prop shaft; 3500rpm R5; 24V option price open; ratio2.500. L=433+801 W=441+407 H=274+520 from drawing; excludes projecting lifting eye/service space; not installation GA; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN"
PK01-B-L01;PK01-B;ME-01|ME-02;YAN-E01;1;package;"320 mhp / 235 kW at 3800 rpm; 1 engine + 1 KMH50A + VC20; manufacturer 2021 package dry mass 435+52 kg and envelope with gear/elbow; standard 12V starter; front belt PTO optional capacity unverified; dealer includes mounts/panel/wiring/fluids; installed propulsion scope incomplete"
PK01-C-L01;PK01-C;ME-01|ME-02|ME-03;PROP-E04;1;package;"Official2026 220kW300hp@2000rpm ratingD heavy duty; gearbox unselected/unpriced; shown dimensions length to flywheel and mass ENGINE ONLY; not complete package envelope;24V option RFQ; ME-03 partial only factory mounts where included: shaft/coupling/thrust unit quantities and price OPEN"
PK02-A-L01;PK02-A;ME-04|ME-19;PROP-G03;2;package;"12kVA10kW continuous50Hz230V;12V starter;mass165capsule+15control electronics. Official dimensions capsule only; separate electronics footprint RFQ. Dealer/allpa dimensions/mass differ; exact SKU installationdrawing required. Published net directly not Polish VAT assumption; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN"
PK02-B-L01;PK02-B;ME-04|ME-19;PAN-G02;2;package;"50Hz230V not yet accepted as220V target;2generators retained;standard datasheet12Vstarter, priced24V SKU unconfirmed. 10.2kW/12kVA NOMINAL at20C;2026catalogue treats0.85 kVA factor as short inductive starting only;hot continuous useful output OPEN. Capsule dimensions exclude fittings and service space;ME19 partial factory cooling only. SellerSKU0028284 vsOEMsheet0024660:exact revision must be tied to offer. EU seller does not yet prove EU dispatch/free-circulation/Poland delivery."
PK02-C-L01;PK02-C;ME-04|ME-19;PROP-G02;2;package;"Singlephase115/230V50Hz:12kW12kVA continuous140C rise;11/11continuous115C;10.5/10.5prime. Official12or24V; JPC exactstarter/shield revision RFQ. Official shield mass385dry398wet; dealer406kg conflict. No borrowing US24V price scope; ME-19 partial factory cooling only: external seawater/exhaust runs and installation OPEN"
PK03-A-L01;PK03-A;ME-05;EL-INV-A;2;pcs;"24 V input; factory 230 V. 3000 VA not 3000 W: 2400 W at25C/2200 W at40C; charger70 A. 2 devices architecture target, capacity unapproved."
PK03-A-L02;PK03-A;ME-09;EL-ISO-A;;pcs;"3.6 class; quantity and shore capacity unknown. Dimensions/mass from opened dealer data pending native drawing confirmation; no substitute of32A at115V for32A at230V."
PK03-B-L01;PK03-B;ME-05;EL-INV-B;2;pcs;"24 V; factory230 V;2400 W at25C/2200 W at40C;70 A. GX monitoring differs; two GX units not required by yacht specification. Current manual geometry differs from catalogue: confirm revision."
PK03-B-L02;PK03-B;ME-09;EL-ISO-B;;pcs;"3500 VA at230 V;16 A;HF technology;source IP23 supersedes dealer IP21. Not complete shore protection."
PK03-C-L01;PK03-C;ME-05;EL-INV-C;2;pcs;"24 V; factory230 V;3000 VA/2600 W at40C;60 A charger;25 A transfer versus32 A Victron. Parallel operation not qualified."
PK03-C-L02;PK03-C;ME-09;EL-ISO-B;;pcs;"3500 VA at230 V;16 A;HF technology;source IP23 supersedes dealer IP21. Not complete shore protection."
PK04-A-L01;PK04-A;ME-08;EL-BAT-A;6;pcs;"Flooded. Owner only said115 amperes; Ah and unit voltage unconfirmed. 6 physical units; no bank wiring/capacity inferred. Deposit extra. Dealer350mm/29kg differs from brochure."
PK04-A-L02;PK04-A;ME-07;EL-OPEN-MAIN;1;pcs;1 physical owner battery, capacity/voltage/chemistry unknown. Not automatically ER550 or service115Ah.
PK04-A-L03;PK04-A;ME-27;EL-OPEN-GEN;2;pcs;"2 physical owner batteries for2generators; capacity/voltage/CCA unknown; keep9total with6service+1main. No fictitious unit price."
PK04-A-L04;PK04-A;ME-28;EL-REM-A;;pcs;"Manual override;24V coil;500A continuous product rating. Quantity, control failover, crank duty and24V live switching not qualified; dimensions drawing pending."
PK04-B-L01;PK04-B;ME-08;EL-BAT-B;6;pcs;"AGM dealer description; legacy manufacturer sheet includes GEL construction wording, chemistry/revision confirmation needed. Body height214mm total220mm; dealer header6.4kg rejected in favour33.7kg technical sheet."
PK04-B-L02;PK04-B;ME-07;EL-OPEN-MAIN;1;pcs;1 physical owner battery, capacity/voltage/chemistry unknown. Not automatically ER550 or service115Ah.
PK04-B-L03;PK04-B;ME-27;EL-OPEN-GEN;2;pcs;"2 physical owner batteries for2generators; capacity/voltage/CCA unknown; keep9total with6service+1main. No fictitious unit price."
PK04-B-L04;PK04-B;ME-28;EL-REM-A;;pcs;"Manual override;24V coil;500A continuous product rating. Quantity, control failover, crank duty and24V live switching not qualified; dimensions drawing pending."
PK04-C-L01;PK04-C;ME-08;EL-BAT-C;6;pcs;"12 V AGM front terminal;6 units only if owner confirms115Ah12V. No12V housebus inferred. Open page21% supersedes search19%."
PK04-C-L02;PK04-C;ME-07;EL-OPEN-MAIN;1;pcs;1 physical owner battery, capacity/voltage/chemistry unknown. Not automatically ER550 or service115Ah.
PK04-C-L03;PK04-C;ME-27;EL-OPEN-GEN;2;pcs;"2 physical owner batteries for2generators; capacity/voltage/CCA unknown; keep9total with6service+1main. No fictitious unit price."
PK04-C-L04;PK04-C;ME-28;EL-REM-A;;pcs;"Manual override;24V coil;500A continuous product rating. Quantity, control failover, crank duty and24V live switching not qualified; dimensions drawing pending."
PK05-A-L01;PK05-A;ME-11;WC-DC-01;1;шт;"24V20L accumulator; dealer50L/min max; source model mapping not proven. Common proposed test15L/min at2bar NOT verified. Do not add included tank again."
PK05-A-L02;PK05-A;ME-12;WC-AC-01;1;шт;Official230V singlephase variant exists. Proposedcommon15L/min at2bar not accepted from maxflow.20L stainless tank included. No price borrowed from24V sibling.
PK05-B-L01;PK05-B;ME-11;WC-DC-02;1;шт;"45L/min max; common proposed15L/min at2bar needs curve. Includes20L tank/gauge/pressure switch; current OEM revision confirmation."
PK05-B-L02;PK05-B;ME-12;WC-AC-02;1;шт;"Open page1052.50HT supersedes search992.50. Dealer max55L/min conflicts Kent45: curves required.0.45kW/20L; common15L/min at2bar not verified."
PK05-C-L01;PK05-C;ME-11;WC-DC-03;1;шт;"Official24V/0.37kW; 1m3/h at30m published point; pressure switch1.5/2.5bar.24L tank differs20L competitors: standardise accumulator scope before comparison. Dimensions drawing orientation not mapped into LWH."
PK05-C-L02;PK05-C;ME-12;WC-AC-03;1;шт;"Explicit230V singlephase; official1m3/h at40m, pressure switch1.5/2.5bar.24L accumulator vs20L needs standardisation; no equivalence claim."
PK06-A-L01;PK06-A;ME-13;WC-RO-01;1;шт;"150 L/h nominal ±10% at25C/35000ppm; modular conventional HP pump; base price only: automatic flush/salinity/reject parity must be itemised; generator minimum4kW manufacturer target, not electrical demand or selection"
PK06-B-L01;PK06-B;ME-13;WC-RO-02;1;шт;"Observed FROM base price; net is FROM benchmark only, NOT complete Touch/salinity/reject price. Nominal150L/h. Manufacturer230V±15% includes220V. Basic has no salinity; Touch optional; 24V variant permitted. Modular unit dimensions not total installed envelope."
PK06-C-L01;PK06-C;ME-13;WC-RO-03;1;шт;"Official150L/h/600W; flush/salinometer/unsafe-water discard included. Official63kg conflicts dealer65kg; dimensions dealer796x317x408 not official therefore blank. Dealer install/service kits included vs manufacturer optional: reconcile"
PK07-A-L01;PK07-A;ME-14;WC-HW-01;;шт;"40L1200W220V plus engine heat exchanger common illustrative class; not owner size. Supplier dimensions/mass in research only pending official drawing. Thermostatic mixing equalise separately."
PK07-B-L01;PK07-B;ME-14;WC-HW-02;;шт;"40L1200W220V plus engine heat exchanger common illustrative class; not owner size. Supplier dimensions/mass in research only pending official drawing. Thermostatic mixing equalise separately."
PK07-C-L01;PK07-C;ME-14;WC-HW-03;;шт;"40L1200W220V plus engine heat exchanger common illustrative class; not owner size. Supplier dimensions/mass in research only pending official drawing. Thermostatic mixing equalise separately."
PK08-A-L01;PK08-A;ME-15;WC-CH-01;2;шт;"16000BTU/h each; illustrative class NOT yacht heatload. Officialcatalog220/1/50; dealer230V. Dimensions exclude controlbox. OEM catalogue says box/display included BUT priced Esco SKU requires airhandler/controlpanel separately: inclusion CONFLICT, RFQ required; do not assume included display.1.5kWnominput at catalogue conditions; independent2module integration open."
PK08-A-L02;PK08-A;ME-16;WC-AUX-01;;шт;"230V50/60Hz magneticdrive; count and pump duty notfixed. No proof this model meets both seawater and chilledwater circuits; official detailed curve required."
PK08-B-L01;PK08-B;ME-15;WC-CH-02;2;шт;"16000BTU/h each; reversecycle. Price recovered live requests HTTP200 after web429; local source text retained. OEM dimensions require authenticated download; old dealerPDF not promoted."
PK08-B-L02;PK08-B;ME-16;WC-AUX-01;;шт;"230V50/60Hz magneticdrive; count and pump duty notfixed. No proof this model meets both seawater and chilledwater circuits; official detailed curve required."
PK08-C-L01;PK08-C;ME-15;WC-CH-03;2;шт;"16000BTU/h each; officialcurrentdimensions. Older F-suffix dealerweight differs: revision match required.3pricepaths found no verified EU net exactSKU; no US price conversion."
PK08-C-L02;PK08-C;ME-16;WC-AUX-01;;шт;"230V50/60Hz magneticdrive; count and pump duty notfixed. No proof this model meets both seawater and chilledwater circuits; official detailed curve required."
PK09-A-L01;PK09-A;ME-18;A09;;шт;"Root open2612.00gross/19%=2194.96NET; повторное открытие независимым агентом2199.90gross/19%=1848.66NET. Принято последнее наблюдение, расхождение сохранено; подтвердить цену до сравнения. Дуплексный узел, микроны/расход одной ветви под двигатель."
PK09-A-L02;PK09-A;ME-19;A10;;шт;"Типоразмер32мм только ориентир; диаметр и положение относительно ватерлинии по выбранному агрегату."
PK09-A-L03;PK09-A;ME-22;A15;;шт;"Поиск224.42exVAT, открытиеchallenge. Раздел дилера предупреждаетhold EU compliance. NET поле пусто; не считать доступным. Официально7м³/мин свободныйрасход, требуемыйнапорнепроверен."
PK09-A-L04;PK09-A;ME-23;A16;;шт;"Только насос; коллектор3агрегатов,шланги,поддоны,свет и автоматика не включены."
PK09-B-L01;PK09-B;ME-18;A09;;шт;"Root open2612.00gross/19%=2194.96NET; повторное открытие независимым агентом2199.90gross/19%=1848.66NET. Принято последнее наблюдение, расхождение сохранено; подтвердить цену до сравнения. Дуплексный узел, микроны/расход одной ветви под двигатель."
PK09-B-L02;PK09-B;ME-19;A11;;шт;"NET явно exclusiefBTW; усиленная версия с металлической крышкой. Сравнение с FTR330/32 требует одинаковых давления/установочного положения."
PK09-B-L03;PK09-B;ME-22;A15;;шт;"Поиск224.42exVAT, открытиеchallenge. Раздел дилера предупреждаетhold EU compliance. NET поле пусто; не считать доступным. Официально7м³/мин свободныйрасход, требуемыйнапорнепроверен."
PK09-B-L04;PK09-B;ME-23;A16;;шт;"Только насос; коллектор3агрегатов,шланги,поддоны,свет и автоматика не включены."
PK09-C-L01;PK09-C;ME-18;A09;;шт;"Root open2612.00gross/19%=2194.96NET; повторное открытие независимым агентом2199.90gross/19%=1848.66NET. Принято последнее наблюдение, расхождение сохранено; подтвердить цену до сравнения. Дуплексный узел, микроны/расход одной ветви под двигатель."
PK09-C-L02;PK09-C;ME-19;A11;;шт;"NET явно exclusiefBTW; усиленная версия с металлической крышкой. Сравнение с FTR330/32 требует одинаковых давления/установочного положения."
PK09-C-L03;PK09-C;ME-22;A15;;шт;"Поиск224.42exVAT, открытиеchallenge. Раздел дилера предупреждаетhold EU compliance. NET поле пусто; не считать доступным. Официально7м³/мин свободныйрасход, требуемыйнапорнепроверен."
PK09-C-L04;PK09-C;ME-23;A16;;шт;"Только насос; коллектор3агрегатов,шланги,поддоны,свет и автоматика не включены."
PK10-A-L01;PK10-A;ME-20;A12;;шт;"Габариты из официальной таблицы, у дилера155×105 отличаются; сверить ревизию. Не вся система осушения; поплавок/сигнализация отдельно."
PK10-A-L02;PK10-A;ME-20;A13;;шт;"Ориентир цены ручного насоса; не назначенный главный аварийный насос67ft, расход/напор/доступ проверить."
PK10-A-L03;PK10-A;ME-20;A14;;шт;"Цена связанного товара открытой карточки; состав сигнализации и число отсеков открыты."
PK10-A-L04;PK10-A;ME-21;A20;;шт;"Поиск1950NET, открытиеошибка. Заголовок51м³, таблица15.6м³ противоречат; модель/заряд не выбраны. Нельзя уменьшать заряд ради габарита. Отключение двигателей/вентиляции и ручнойпуск по отдельномуBOM."
PK10-B-L01;PK10-B;ME-20;A12;;шт;"Габариты из официальной таблицы, у дилера155×105 отличаются; сверить ревизию. Не вся система осушения; поплавок/сигнализация отдельно."
PK10-B-L02;PK10-B;ME-20;A13;;шт;"Ориентир цены ручного насоса; не назначенный главный аварийный насос67ft, расход/напор/доступ проверить."
PK10-B-L03;PK10-B;ME-20;A14;;шт;"Цена связанного товара открытой карточки; состав сигнализации и число отсеков открыты."
PK10-B-L04;PK10-B;ME-21;A20;;шт;"Поиск1950NET, открытиеошибка. Заголовок51м³, таблица15.6м³ противоречат; модель/заряд не выбраны. Нельзя уменьшать заряд ради габарита. Отключение двигателей/вентиляции и ручнойпуск по отдельномуBOM."
PK10-C-L01;PK10-C;ME-20;A12;;шт;"Габариты из официальной таблицы, у дилера155×105 отличаются; сверить ревизию. Не вся система осушения; поплавок/сигнализация отдельно."
PK10-C-L02;PK10-C;ME-20;A13;;шт;"Ориентир цены ручного насоса; не назначенный главный аварийный насос67ft, расход/напор/доступ проверить."
PK10-C-L03;PK10-C;ME-20;A14;;шт;"Цена связанного товара открытой карточки; состав сигнализации и число отсеков открыты."
PK10-C-L04;PK10-C;ME-21;A20;;шт;"Поиск1950NET, открытиеошибка. Заголовок51м³, таблица15.6м³ противоречат; модель/заряд не выбраны. Нельзя уменьшать заряд ради габарита. Отключение двигателей/вентиляции и ручнойпуск по отдельномуBOM."
PK11-A-L01;PK11-A;ME-24;A17;;шт;"Длина320мм исследовательская; не утверждена глубина/число танков. Цена связанного товара, отдельный индикатор не включён."
PK11-A-L02;PK11-A;ME-25;A19;;шт;"24V; только насос сточного танка. Пересечение с комплектом туалета проверять; число танков не назначено."
PK11-B-L01;PK11-B;ME-24;A18;;шт;"Ультразвуковой аналоговый датчик; работа в конкретном танке и интерфейс подлежат проверке. Не цена танка."
PK11-B-L02;PK11-B;ME-25;A19;;шт;"24V; только насос сточного танка. Пересечение с комплектом туалета проверять; число танков не назначено."
PK11-C-L01;PK11-C;ME-24;A18;;шт;"Ультразвуковой аналоговый датчик; работа в конкретном танке и интерфейс подлежат проверке. Не цена танка."
PK11-C-L02;PK11-C;ME-25;A19;;шт;"24V; только насос сточного танка. Пересечение с комплектом туалета проверять; число танков не назначено."
PK12-A-L01;PK12-A;ME-29;A01;;шт;"70л; HT1013 включён. Цена бака с частью управления, не станции. 615×475×360мм у продавца — только голый бак без клапанов, не монтажный габарит."
PK12-A-L02;PK12-A;ME-29;A02;;шт;"45см³/оборот; ориентация/SAE/привод и требуемый расход не выбраны. Не три уровня насосов разного размера."
PK12-A-L03;PK12-A;ME-29;A03;;шт;"Шланг32мм; теплоотдача/забортный контур требуют проверки; не доказана необходимость именно этого размера."
PK12-A-L04;PK12-A;ME-29;A04;;шт;"Один тип клапана; не весь блок гидролебёдок, количество потребителей открыто."
PK12-A-L05;PK12-A;ME-29;A05;;шт;"Одноступенчатый load sensing; пригодность к общей системе открыта."
PK12-B-L01;PK12-B;ME-29;A07;;шт;"Справочный габарит настенного танк-модуля из каталога2020; с блоком одного подруливающего, без всей установки. Ещё100мм для замены фильтра. Нужны текущийCAD и расчёт всех потребителей."
PK12-C-L01;PK12-C;ME-29;A08;;шт;"30л,2мотора24V4kW; стандартная помпа15л/мин140бар. Не доказана пригодность для подруливающих; не назначать резервное питание от6АКБ дорасчёта тока."
