criterion;A;B;next_evidence;status
Кормовой Master;Сохраняет историческую идею но наложен на гараж;Убран из кормы и перенесён вперёд;Фактические кормовые сечения и полы;CONCEPT_COMPARISON
Гараж;Меньший резерв напрямую пересекает Master;Больший отдельный кормовой резерв с техническими границами OPEN;Полный тендерный габарит и траектория балки плюс рулевое;RESERVED_MODEL_NOT_SELECTED
Полный поперечный Master;Цель не доказана при гараже;Явно уступает боковому проходу;Мебель и внутренние сечения;TARGET_NOT_MET_OR_NOT_PROVEN
Четыре каюты;Четыре функциональные области;Четыре функциональные области;Габариты коек дверей и людей;FIT_NOT_PROVEN
Прямоугольные резервы носовой группы;Guest Convertible VIP и хранение местами выходят за наружную проекцию;Тот же геометрический конфликт;Сужающиеся формы помещений и новая мебельная упаковка;RECTANGULAR_RESERVES_DO_NOT_FIT
Четыре ensuite;E1 внутри Master E2 VIP E3 Guest E4 в Convertible;Та же логика с Master в новой зоне;Двери душевые установки высоты и отводы;FIT_NOT_PROVEN
Convertible;E4 сокращает резерв длины;Тот же конфликт E4 и всех состояний коек;Два нижних места двойное положение и верхняя откидная;TARGET_NOT_PROVEN
Камбуз и столовая;Сохраняются внизу плюс салон наверху;Камбуз наверху и единый салон-столовая;Чистая высота рубки вентиляция доступ и мебель;FIT_NOT_PROVEN
Крыша;Её передний резерв можно исследовать независимо от сохранённого нижнего камбуза;Верхний камбуз зависит от условного развития рубки;Уточнение предмета FC01 уровни нагрузки обзор и мачта;OWNER_INTENT_DIMENSIONS_OPEN
МО;Историческая логика центрального объёма сохраняется;Резерв частично смещён к корме;Фундаменты вал переборки агрегаты пути выноса;FIT_NOT_PROVEN
Проходы;Намечена обходная линия рядом с МО;Линия обхода МО и Master отнимает жилую ширину;Трёхмерные маршруты двери лестницы и выходы;NOT_CLEARANCE_CHECKED
Рулевое и аварийный доступ;Гараж и Master конкурируют с доступом;Гараж может перекрыть доступ несмотря на перенос Master;Фактическая система рулевого и её объём обслуживания;OPEN
Балка и боковая загрузка;Сторона и кинематика не выбраны;Сторона и кинематика не выбраны;Паспорт тендера путь груза опоры и водонепроницаемые границы;OPEN
Порядок следующей проверки;Контрольная альтернатива сохранения кормового Master;Первая проверка реальных объёмов в силу освобождения кормы;Не означает выбор владельца;AUTHOR_RECOMMENDATION
