id;author;title;date;url;type;read_scope;limits;access_date
"S01";"Jerome Milgram / MIT";"Sailing Yacht Design (13.734)";"2003";"https://ocw.mit.edu/courses/2-996-sailing-yacht-design-13-734-fall-2003/";"COURSE";"Программа; описание; study materials";"Карта дисциплины и проектная спираль; полный учебник не прочитан";"2026-09-10"
"S02";"MIT OpenCourseWare";"Principles of Naval Architecture";"2014";"https://ocw.mit.edu/courses/2-700-principles-of-naval-architecture-fall-2014/";"COURSE";"Описание и состав курса";"Гидростатика; прочность; сопротивление; не завершённый курс";"2026-09-10"
"S03";"MIT OpenCourseWare";"Ship Hydrostatics and Structures";"2011";"https://www.ocw.mit.edu/courses/2-019-design-of-ocean-systems-spring-2011/f0cc4e483a7d4b78760f9b0908f51c44_MIT2_019S11_HydStr1.pdf";"LECTURE";"Выборочные разделы PDF: требования; компоновка; качка";"FPSO и баржи; размерные рекомендации не переносить на яхту";"2026-09-10"
"S04";"US Naval Academy / NAOE";"EN455 Chapter 2: Review of Intact Statical Stability";"Дата редакции не установлена";"https://www.usna.edu/NAOE/_files/documents/Courses/EN455/EN455_Chapter2.pdf";"LECTURE";"Индексированный фрагмент; визуально печатные с.19–20 (PDF 9–10)";"Свободные поверхности и методы аварийной остойчивости; военные критерии не переносить";"2026-09-10"
"S05";"Offshore Racing Congress";"Velocity Prediction Program (VPP)";"Текущая страница; дата публикации не указана";"https://orc.org/organization/velocity-prediction-program-vpp";"METHOD";"Описание силового равновесия и составляющих сопротивления";"Расчёт установившегося хода; не сертификат безопасности";"2026-09-10"
"S06";"Offshore Racing Congress";"ORCsy VPP Documentation 2026, v1.00";"2026-04-20";"https://orc.org/uploads/files/Rules-Regulations/2026/ORC-SY-VPP-documentation2026.pdf";"METHOD_2026";"Оглавление; §§1–4; §§6.3–7";"Рейтинговые поправки отделять от физических эффектов; выбранные разделы 22-страничного PDF";"2026-09-10"
"S07";"G. Bordogna / TU Delft";"The Aero-Hydrodynamic Characteristics of Yachts Sailing Upwind in Waves";"2013";"https://repository.tudelft.nl/record/uuid%3Aa90ecb47-ffa3-44e7-8d43-db34e0372dbd";"MSC_THESIS";"Карточка и развёрнутая авторская аннотация";"Два экспериментальных корпуса; полный текст диссертации не прочитан";"2026-09-10"
"S08";"Daniele Trimarchi / University of Southampton";"Analysis of downwind sail structures using non-linear shell finite elements: wrinkle development and fluid interaction effects";"2012-06-01";"https://eprints.soton.ac.uk/348893/1/TRIMARCHI_thesis.pdf";"PHD_THESIS";"Аннотация; глава 6, печатные с.237–244; оглавление";"299 страниц PDF сохранены локально; сплошное чтение не заявляется; численная модель не воспроизведена";"2026-09-10"
"S09";"Laura Marimon Giovannetti; O. Charalampopoulos; Joseph Banks; Stephen Boyd; Stephen Turnock";"Developing fluid structure interaction experimental methodologies For dynamic foil measurements";"2020";"https://eprints.soton.ac.uk/443098/";"CONFERENCE_PAPER";"Карточка и аннотация";"Синхронные DIC/PIV/силы для валидации; полный текст ограничен";"2026-09-10"
"S10";"Antoine Morvan и соавторы / Ocean Engineering";"Efficient jib-mainsail fluid-structure interaction modelling – Validations with semi-rigid sails experiments";"2022";"https://www.sciencedirect.com/science/article/pii/S0029801821015250";"RESEARCH_PAPER";"Индексированные авторские фрагменты";"Полужёсткие паруса; полный текст не получен; количественные эффекты не перенесены";"2026-09-10"
"S11";"Masahiro Sakai; Naoya Umeda";"On the Uniqueness of the Approximate Analytical Solution of the Surf-Riding Threshold in the IMO Second Generation Intact Stability Criteria";"2024-07-16, arXiv v1";"https://arxiv.org/html/2407.11601v1";"AUTHOR_PREPRINT";"Аннотация; введение; выводы; приложение выборочно";"Математическая модель порога surf-riding; не граница безопасного хода нашей яхты";"2026-09-10"
"S12";"IMO";"MSC.1/Circ.1627 — Interim Guidelines on the Second Generation Intact Stability Criteria";"2020-12-10";"https://puc.overheid.nl/nsi/doc/PUC_641688_14/1/";"REGULATORY_PRIMARY";"Карточка государственного реестра; вводные положения по копии циркуляра";"Динамические режимы; не назначено обязательным для VDS67";"2026-09-10"
"S13";"ClassNK";"TEC-1229: Summary of the Outcomes of MSC 102; attachments";"2021-02-24";"https://www.classnk.or.jp/hp/pdf/tech_info/tech_img/T1229e.pdf";"CLASS_PRIMARY";"Введение и сведения о решениях MSC102; не весь сборник";"Проверка хронологии; 337 страниц сборника не прочитаны";"2026-09-10"
"S14";"TWI";"Weldability of Materials — Aluminium Alloys, Job Knowledge 21";"Дата обновления не установлена";"https://www.twi-global.com/technical-knowledge/job-knowledge/weldability-of-materials-aluminium-alloys-021";"TECHNICAL_PRIMARY";"Разделы сплавов; HAZ; присадки; дефекты и очистка";"Руководство; не технологическая карта конкретного корпуса";"2026-09-10"
"S15";"Stuart Bond / TWI";"Corrosion of welded components in marine environments";"2003-04";"https://www.twi-global.com/technical-knowledge/published-papers/corrosion-of-welded-components-in-marine-environments-april-2003";"TECHNICAL_PAPER";"Введение; коррозия сварных алюминиевых соединений; факторы повреждения";"Стальные нормы потерь толщины исключены из применения";"2026-09-10"
"S16";"Hydro";"Enlightened aluminium — solutions for Marine";"Дата выпуска в PDF не установлена";"https://www.hydro.com/globalassets/02-industries/transportation/marine-offshore/hydro-marine-brochure.pdf";"MANUFACTURER";"Текст PDF о профилях; FSW; защите от огня";"Маркетинговая техническая брошюра; не считать новинкой 2026 по дате индексации";"2026-09-10"
"S17";"ISO";"ISO 12215-5:2019 — Hull construction and scantlings";"2019; corrected 2024-03; confirmed 2026-04-16";"https://www.iso.org/standard/69552.html";"STANDARD_CATALOG";"Официальная область; статус; история редакции";"Полный платный стандарт не прочитан";"2026-09-10"
"S18";"ISO";"ISO 12217-2:2022 — Stability and buoyancy assessment, sailing boats";"2022-12";"https://www.iso.org/standard/79073.html";"STANDARD_CATALOG";"Официальная область и статус; проект пересмотра";"Стандарт 6–24 м длины корпуса; полный текст не прочитан";"2026-09-10"
"S19";"ISO";"ISO 13297:2020 — Electrical systems";"2020-12; Amd 1:2022";"https://www.iso.org/standard/69551.html";"STANDARD_CATALOG";"Область DC/AC; исключения; поправка и проект следующей версии";"Не заменяет ISO 16315 для электродвижения; полный текст не прочитан";"2026-09-10"
"S20";"ISO";"ISO 23625:2025 — Lithium-ion batteries";"2025-03-05";"https://www.iso.org/standard/85220.html";"STANDARD_CATALOG";"Официальная область; дата; замена ISO/TS 23625:2021";"Для батарей свыше 500 Wh; полный текст не прочитан";"2026-09-10"
"S21";"DNV";"Battery and hybrid ships";"Текущая страница; дата не указана";"https://www.dnv.com/services/battery-and-hybrid-ships/";"CLASS_PRIMARY";"Описание услуг и области батарейных/гибридных решений";"Концептуальная база; выгоды конкретной яхты не рассчитаны";"2026-09-10"
"S22";"DNV";"WAPS — Wind Assisted Propulsion Systems";"Текущая страница; дата не указана";"https://www.dnv.com/maritime/insights/topics/waps-wind-assisted-propulsion-systems/";"CLASS_PRIMARY";"Технологии; маршрутизация; ограничения";"Проценты экономии торгового флота не переносить на яхту";"2026-09-10"
"S23";"KM Yachtbuilders / Bestevaer";"Sustainability";"Текущая страница; упоминает 2024";"https://bestevaer.com/sustainability/";"BUILDER";"Материалы; регенерация; интерьер; изоляция; покрытия";"Предложения верфи; не независимая LCA; не новинки исключительно 2026";"2026-09-10"
"S24";"Contest Yachts";"Contest 67CS";"Текущая страница; дата не указана";"https://www.contestyachts.com/model/67cs";"BUILDER";"Общая компоновка; варианты кают; техническое помещение; акустика";"Аналог той же длины; иной корпус и конструкция";"2026-09-10"
"S25";"Hallberg-Rassy";"Hallberg-Rassy 44 Mk II";"Представлена 2026-08-21–23; модельный год 2027";"https://www.hallberg-rassy.com/yachts/hallberg-rassy-44-mk-ii";"BUILDER_2026";"Перечень интерьерных и наружных изменений; дата показа";"Пример тенденций; размеры и планировка не переносимы на VDS67";"2026-09-10"
"S26";"Thomas Savasta; Bill Edwards; Adam Sobey";"Human–machine teaming for leisure motorboat layout design";"2026-06-10";"https://www.cambridge.org/core/journals/data-centric-engineering/article/humanmachine-teaming-for-leisure-motorboat-layout-design/94FB8C57C1EB83260D615CE6404DB7FF";"RESEARCH_PAPER_2026";"Введение; §3; §4 и примеры выборочно; §§6–7";"20-страничный PDF сохранён; опубликована CC BY 4.0; полный алгоритм не воспроизведён";"2026-09-10"
"S27";"JMSE / MDPI";"Equipment Layout Optimization Based on Human Reliability Analysis of Cabin Environment";"2021; 9(11):1263";"https://www.mdpi.com/2077-1312/9/11/1263";"RESEARCH_PAPER";"Индексированные разделы модели; применение; результаты; ограничения";"Исследование вспомогательного машинного помещения; прямой HTML недоступен";"2026-09-10"
"S28";"JMSE / MDPI";"Random/Cognitive Hybrid Uncertainty Analysis of Ship Multitasking Cabin Layout";"2024-01-08; 12(1):120";"https://www.mdpi.com/2077-1312/12/1/120";"RESEARCH_PAPER";"Метаданные и аннотация";"Многорежимность компоновки; не полный анализ статьи";"2026-09-10"
"S29";"Dometic";"Marine Air Conditioning — Guidelines for Selecting";"2023 в имени файла; дата издания не сверена";"https://www.dometic.com/globalassets/1-outdoor/out-category-pages/climate--comfort/air-conditioners/dometic-marine-ac-guide-2023.pdf";"MANUFACTURER_GUIDE";"Индексированный текст печатных с.6–7";"Прямой PDF вернул 404; укрупнённые факторы не принимаются за окончательный теплотехнический расчёт";"2026-09-10"
"S30";"North Sails";"3Di OCEAN — Molded Composite Sails for Cruising";"Текущая страница; дата не указана";"https://www.northsails.com/pages/materials-3di-ocean";"MANUFACTURER";"Конструкция и линейка материалов";"Заявления производителя; противоречивый предел LOA Ocean700 не использовать для подбора";"2026-09-10"
"S31";"North Sails";"Helix sails with load sharing technology";"Переиздание материала февраля 2019";"https://www.northsails.com/blogs/north-sails-blog/helix-sails-with-load-sharing-technology";"MANUFACTURER";"История технологии и распределение нагрузок";"Не новинка 2026; частные заявления о снижении нагрузок не переносить";"2026-09-10"
"S32";"Chantiers de l’Atlantique";"April 29, 2026 naming of Orient Express Corinthian";"Событие 2026-04-29; публикация 2026-05-07";"https://chantiers-atlantique.com/en/news/april-29-2026-naming-of-orient-express-corinthian-the-worlds-largest-sailing-yacht/";"SHIPYARD_2026";"Сообщение о событии и масштабе судна";"Промышленный контекст; не аналог 67-футовой яхты";"2026-09-10"
"S33";"ITTC";"Report of the Specialist Committee on Combined CFD/EFD Methods";"2024";"https://ittc.info/media/12076/14-combined-cfdefd-methods.pdf";"TECHNICAL_COMMITTEE";"Индексированные положения о V&V; перечень процедур через ITTC";"Численная и экспериментальная неопределённость; полный доклад не прочитан";"2026-09-10"
"S34";"Oceanvolt";"Cutting edge technology and latest market trends";"2023 по датировке поисковой карточки";"https://oceanvolt.com/oceanvolt-blog/news/cutting-edge-technology-latest-market-trends/";"MANUFACTURER";"ServoProp; регенерация; варианты приводов";"Мощность регенерации из рекламы не переносить; не новинка 2026";"2026-09-10"
