gap_id;severity_for_dependent_stage;missing_fact;needed_source;responsible_discipline;closure_evidence;dependent_decisions;status
G01;BLOCKER_FOR_DIMENSIONED_LAYOUT;Связь PDF с корпусом и 3DM/DWG не установлена;"Исходная модель; ревизионная ведомость; фото и обмер опорных сечений";Геометрия/корпус;"Сопоставить координаты; переборки; уровни; отверстия; оформить принятую ревизию";Все размерные варианты и количества;OPEN
G02;BLOCKER_FOR_DIMENSIONED_LAYOUT;Нет чистых размеров после конструкции и изоляции;CAD+поперечные сечения+натурные контрольные размеры;Компоновка/интерьер;"Реестр проходов; высот; проёмов и открываний с контрольной точкой";"Койки; санузлы; мебель; эвакуация";OPEN
G03;MAJOR;"Носовой отсек не идентифицирован как жилая каюта; трансформация боковых не проверена";"Пояснения проектанта; исходные слои CAD; разрезы носа и бортовых помещений";Компоновка/интерьер;"Два варианта A/B; три состояния convertible; фиксировать отказ варианта при конфликте";"3+1 кают; приватность; вместимость";OPEN
G04;MAJOR;Три прочитанных WC против цели четыре ensuite;GA и уточнённые планы санузлов/дверей;Компоновка+системы;Найти четвёртый санузел и независимые входы без перекрытия проходов;"Четыре private ensuite; сантехника; мебель";OPEN
G05;MAJOR;Нет полных установочных/сервисных объёмов целевого оборудования;Габаритные чертежи производителей конкретных исполнений;Системы;"Установочный объём плюс снятие крышек/фильтров и трассы; проверка общей схемы";"МО; электрошкафы; чиллеры; камбуз; экраны";OPEN
G06;MAJOR;Не показан проверенный путь извлечения двигателя/генераторов и обслуживания кормы;"Монтажные планы; проёмы; массы узлов; доступ подъёмного средства";Системы+производство;Проверить траекторию крупнейшего заменяемого блока и места разъёмов;"Съёмная мебель; люки; разборка; стоимость обслуживания";OPEN
G07;MAJOR;Нет трасс водоснабжения/санитарии/вентиляции и доступа к арматуре;"Схемы систем; уровни танков и сливов; требования выбранных приборов";Системы;Совместить мокрые зоны с трассами и сервисными панелями;"Санузлы; камбуз; потолки; HVAC";OPEN
G08;MAJOR;Не определены эксплуатационная вместимость и объём хранения;"Brief владельца о людях/длительности; перечень снабжения; назначение носового отсека";Начальник+компоновка;Представить проверяемый перечень хранения и состояний загрузки;"VIP; паруса; кладовая; запасы; аварийное снабжение";OPEN
G09;BLOCKER_FOR_STABILITY;Нет подтверждённой модели масс и загрузок;"Обмеры; состояние балласта; массы установленного и будущего; координаты танков";Гидростатика/весовой контроль;"Согласовать базу масс; после геометрии расчёт посадки/GZ отдельным специалистом";"Тяжёлое оснащение; верхний интерьер; тендер; парусный прогноз";OPEN
G10;MAJOR;Положение и состояние силовых узлов вооружения не подтверждены;"Чертежи мачтового степса/путенсов; натурная проверка; CAD";Корпус/рангоут;Связать точки приложения нагрузки с силовыми конструкциями;"Перегородки; потолки; трассы; рангоут";OPEN
G11;MAJOR;Посты управления/выходы и обзор не проверены;"Размерная консоль; точки глаз; проёмы; рулевая схема";Компоновка+навигация;"Проверка двух постов из brief; доступа к лестнице и ручному управлению";"Экраны; кресла; лестница; верхний салон";OPEN
G12;MAJOR;Тендер на историческом разрезе без комплектации и грузового пути;"Выбранные кандидаты тендера; схема подъёма; кормовые сечения";Палуба+корпус+системы;"Проверка массы; опор; проходов; подъёма; аварийного рулевого доступа";"Корма; Master; грузоподъёмные средства";OPEN
G13;MAJOR;"Стройка Польша подтверждена; проектный нормативный базис ещё не установлен";"Назначение яхты; флаг; путь допуска; решение владельца/профильного проектанта";Начальник/соответствие;"Матрица применимых требований к проёмам; выходам; обитаемости; системам";Предельные размеры и выпуск рабочих чертежей;OPEN
G14;MAJOR;Не определены поверхности/толщины отделки и технологические узлы;"Принятая геометрия; интерьерные развёртки; спецификации материалов";Интерьер+сметчик;"Ведомости площадей по поверхностям с вычетами и ревизией; комплект креплений/изоляции";Количества для КП/КАЦ и УТВ;OPEN
