survey_id;location_datum;measure;purpose;method;required_accuracy;source_change;priority;status
SUR-01;Весь корпус: продольная ось и устойчивые опорные точки;"Зафиксировать систему XYZ, положение корпуса на опорах, фактические крайние точки и контрольные ширины; маркировку корпуса и конструкций";Связать CAD/PDF/натуру без подгонки масштаба и без принятия пола цеха за базовую плоскость;"Координатная съёмка опорных точек и контрольных диагоналей; схема осей, единицы и невязка";"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";"DOC-003; DOC-004; DOC-001/DOC-002 при последующей сверке";P1;PLANNED_NOT_MEASURED
SUR-02;Нос: концевой отсек и граница следующего отсека на GA;"Координаты поперечных границ, отверстий и люков; доступные грани набора и сопряжения с палубой/обшивкой";Установить реальные границы носовой зоны без назначения её жилой каютой;"Привязанные сечения и фото обеих сторон границ; сверка с конструктивными листами";"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";DOC-003, основной план носа и разрез;P1;PLANNED_NOT_MEASURED
SUR-03;Бортовые спальни/пара носовых WC/нижний салон на GA;"Поперечные профили до выступающих конструкций на границах зон и в местах сужения; высоты до балки/палубы";Определить доступный объём мебели, проходов и санузлов до вычета будущей отделки;Сканирование либо размерные поперечные сечения в общей системе координат;"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";DOC-003, средняя и носовая части плана;P1;PLANNED_NOT_MEASURED
SUR-04;Нижние помещения — поднятый салон — кормовая жилая зона;"Отметки существующих опор/настилов пола и нижних граней перекрытий; перепады и подпольные препятствия; отсутствие настила фиксировать отдельно";"Разделить конструктивные уровни и будущий чистый пол; проверить полезную высоту и подпольные трассы";Нивелирование от SUR-01 и продольные/поперечные сечения;"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";DOC-003, продольный разрез;P1;PLANNED_NOT_MEASURED
SUR-05;Все фактические внутренние поперечные границы по маршруту нос–корма;"Положение, открытая геометрия и толщина доступных кромок; координаты дверных/технологических проёмов, порогов и выступов";Отличить существующие конструкции от мебели GA и проверить непрерывный проход;"Привязка граней и проёмов; фото каждой границы с ID, документальная проверка назначения";"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";"DOC-003, основной план; подтверждающие конструктивные документы требуются";P1;PLANNED_NOT_MEASURED
SUR-06;МО под поднятым салоном на историческом GA;"Внутренний объём до набора; границы и фундаменты если существуют; их отметки и отверстия; свободная высота до настила/балок";Подготовить проверку размещения и обслуживания двигательной установки без признания нарисованного двигателя установленным;Сканирование/привязанные сечения и обмер доступных фундаментов;"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";DOC-003, центральный объём плана и двигатель на разрезе;P1;PLANNED_NOT_MEASURED
SUR-07;Лестница/выход в кокпит и возможный верхний доступ в МО;Наличие и габариты проёмов, порогов, поворотов, съёмных частей и фиксированных препятствий от МО до наружной палубы;"Определить исходную геометрию пути монтажа/извлечения и прохода людей; предельный груз пока не выбран";Непрерывная цепочка привязанных проёмов и сечений маршрута, фото узлов;"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";"DOC-003, отдельный план верхнего салона и разрез; FC-02";P1;PLANNED_NOT_MEASURED
SUR-08;Рубка: передняя граница, крыша, примыкание к палубе;"Наружная и внутренняя поверхности, кромки и переломы, балки/стойки и доступные узлы сопряжений; высоты над общей базой";Получить существующую основу FC-01 без назначения объекта и величины удлинения;Сканирование обеих сторон или продольные/поперечные сечения с контрольными связями;"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";"DOC-003; DOC-004; DOC-005; FC-01";P1;PLANNED_NOT_MEASURED
SUR-09;Оконные контуры рубки и палубные отверстия перед ней;"Фактические вырезы, перемычки, радиусы/кромки, комингсы и ближайший набор; отличить временные заглушки от готовых проёмов";"Проверить ограничения крыши, обзора, трасс и примыканий; фото не подтверждает комплект остекления";Размерная ведомость проёмов с привязкой к SUR-08 и внутренними фото;"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";"DOC-005; DOC-003; FC-01";P1;PLANNED_NOT_MEASURED
SUR-10;Кокпит и примыкание к кормовой границе рубки;"Уровни днища/сидений/комингсов, выходы и дренажные отверстия если существуют; положение опор и подлежащего набора";Основа объёма кокпита и будущего hardtop, без выбора его стоек;Привязанные сечения и съёмка доступного набора снизу;"Назначает ответственный проектировщик до обмера; фактическую точность и невязку записывает исполнитель";"DOC-003; DOC-004; FC-02";P2;PLANNED_NOT_MEASURED
