zone_id;zone;source_and_region;observed_state;evidence_status;proposed_function;constraint;gap_refs
Z01;Кормовая жилая зона;DOC-003 p1 plan X3-37 Y21-37;Спальное место и бортовая мебель видны;DOCUMENT_VERIFIED / NOT_MEASURED;"Master с хранением; существующий WC изучить как ensuite";"МО рядом; тендер выше/позади; положение силовых границ; акустика";G01 G02 G06
Z02;Кормовой санузел;DOC-003 p1 plan X3-17 Y32-40;WC и умывальник видны;DOCUMENT_VERIFIED / NOT_MEASURED;Ensuite Master с проверкой душа и частного входа;"Не обещан отдельный душ; не закрывать доступ к МО";G02 G04 G07
Z03;Центральное МО;"DOC-003 p1 plan X13-37 Y36-47; section X70-90 Y36-47";"Изолированный контур на плане; двигатель на разрезе";DOCUMENT_VERIFIED / EQUIPMENT_NOT_CONFIRMED;Сохранить как исходный технический объём варианта A/B;"300hp и два генератора не подтверждены помещаемыми; фундаменты и вынос";G01 G05 G06 G09
Z04;Камбуз;DOC-003 p1 plan X3-16 Y44-57;Плита и двойная мойка видны;DOCUMENT_VERIFIED / NOT_MEASURED;Рабочая и бытовая зона по brief;"Перечень бытовой техники больше показанного; проход и тепловыделения";G02 G05 G07
Z05;Нижняя столовая;DOC-003 p1 plan X18-36 Y47-57;Стол с диваном напротив камбуза;DOCUMENT_VERIFIED / NOT_MEASURED;"Сохранить как сравниваемую функцию; уточнить необходимость при верхнем салоне";"Дополнительное хранение конкурирует с проходом; фиксация мебели на ходу";G02 G08
Z06;Спальня справа по борту;DOC-003 p1 plan left side X7-18 Y56-69;Широкая спальная поверхность и шкафы;DOCUMENT_VERIFIED / NOT_MEASURED;"A: guest; B: convertible";Два нижних отдельных места и верхнее не следуют из старой широкой койки;G02 G03 G04
Z07;Спальня слева по борту;DOC-003 p1 plan right side X22-33 Y56-69;Широкая спальная поверхность и шкафы;DOCUMENT_VERIFIED / NOT_MEASURED;"A: convertible; B: guest";"Сервисные трассы по борту; сохранение центрального прохода; верхняя койка";G02 G03 G04
Z08;Парные носовые санузлы;DOC-003 p1 plan X10-31 Y69-75;Два WC с умывальниками;DOCUMENT_VERIFIED / NOT_MEASURED;"Изучить один для VIP; второй для guest";"Двери и независимые входы не доказаны; не обслуживают три каюты как три ensuite";G02 G04 G07
Z09;Носовой отсек перед WC;"DOC-003 p1 plan X11-31 Y74-83; corresponding longitudinal section";Длинные бортовые элементы без однозначной подписи назначения;DOCUMENT_VERIFIED / FUNCTION_UNCONFIRMED;Кандидат VIP после проверки изменения назначения;"Нельзя назвать исходной VIP; высота; оконечный объём; проход; кладовая";G01 G02 G03 G08
Z10;Носовая оконечность;DOC-003 p1 plan X13-27 Y82-94;Отдельный оконечный объём и контуры люков;DOCUMENT_VERIFIED / FUNCTION_UNCONFIRMED;"Уточнить якорное/парусное хранение; сохранить нужное разделение";"Мокрое хранение не совмещать автоматически с VIP; крепления штагов";G01 G08 G10
Z11;Верхний салон и управление;"DOC-003 p1 separate plan X39-63 Y29-54; DOC-004 p1 lower profile";"Стол; диван; кресла; консоль; лестница";DOCUMENT_VERIFIED / NOT_MEASURED;"Салон; навигация; связующий узел проходов";"Два полных поста с четырьмя большими экранами на каждом не размещены; обзор и выход";G02 G05 G11
Z12;Кормовая зона тендера;DOC-003 p1 section X66-94 Y6-22;Контур малой лодки на кормовом разрезе;DOCUMENT_VERIFIED / NOT_MEASURED;Проверить хранение и грузовой маршрут тендера;"Не известны масса/размер тендера; нагрузки; рулевое и аварийный доступ";G06 G09 G12
Z13;Четвёртый ensuite;BRIEF docs/16-premium-builder-specification.md principal target arrangement;На GA четвёртый WC не обнаружен;MISSING / PROVISIONAL_TARGET;Найти пространство для частного санузла convertible;"Место открыто; нельзя считать существующим или вычитать из МО без решения";G03 G04 G07
Z14;Общие сервисные и эвакуационные маршруты;"DOC-003 p1 plan + section; BRIEF service access";"Видны переходы и лестница; измерений и маршрута выноса нет";NOT_CHECKED;"Непрерывные проходы людей; отдельная проверка снятия агрегатов";Кресла/открытые двери/разложенная койка и сервисные панели не должны блокировать необходимый доступ;G02 G05 G06 G11
