decision_id;date;authority;instruction_or_decision;scope;status;evidence
D001;2026-09-10;Алексей;Создать общий проектно-сметный офис в существующем репозитории яхты;Операционный перенос и хендоф;USER_INSTRUCTION;Поручение в текущем чате 10.09.2026
D002;2026-09-10;Алексей;Узкую яхтенную специализацию освоят будущий начальник и назначенные им специалисты;Не выполнять отраслевое обучение этим переносом;USER_INSTRUCTION;Поручение в текущем чате 10.09.2026
D003;2026-09-10;Алексей;"Назначить ассистента начальником офиса; в наличии лишь неокрашенный алюминиевый корпус под крышу";Управление и исходное состояние;USER_INSTRUCTION;Поручение владельца в чате 10.09.2026
D004;2026-09-10;Алексей;Сохранять чертежи, новые данные и действия локально и синхронизировать с GitHub;Действующий рабочий порядок office/document-control.md;USER_INSTRUCTION;Прямое поручение владельца при передаче архивов
D005;2026-09-10;Алексей;"Офис работает агентами по специальностям; начальник управляет и принимает результаты";O02: компоновка, системы, закупки, КАЦ, УТВ;USER_INSTRUCTION;Текущее поручение владельца
D006;2026-09-10;Алексей;УТВ означает утверждённую исходную смету / базовый бюджет;"Название будущей утверждённой стоимостной базы; сама база пока не утверждена";USER_INSTRUCTION;Ответ владельца на уточнение 10.09.2026
D007;2026-09-10;Алексей;"Европейский контекст; строительство в Польше";"Место стройки и рынок; флаг, юридическое лицо и VAT не выводятся автоматически";USER_INSTRUCTION;Прямое уточнение владельца 10.09.2026
D008;2026-09-10;Алексей;"Сейчас нужен общий план и последовательность от общего к частному; не выдавать весь пакет с ценами";"Приоритет O02; последующие стадии планируются, первичная ценовая разведка остановлена";USER_INSTRUCTION;Уточнение владельца в текущем чате
D009;2026-09-10;Алексей;"Работать самостоятельно; участие владельца на текущей стадии не требуется";"Завершить план и подготовку на имеющихся данных; не подставлять неизвестные под видом подтверждённых";USER_INSTRUCTION;Последнее поручение владельца в чате
D010;2026-09-10;Алексей;"Выполнить запланированный разбор геометрии; сохранить будущие наметки крыши хардтопа кормового гаража и заноса тендера типа Williams кран-балкой";"G01 и design-intents.csv FC-01–FC-04; не является утверждением переработки конструкции";USER_INSTRUCTION;Последнее поручение владельца в чате
D011;2026-09-10;Алексей;Продолжить большим спринтом;"G02: чтение DWG другим движком, координатная связь, первые концептуальные варианты; прежние ограничения по ценам сохраняются";USER_INSTRUCTION;Текущее прямое поручение владельца
D012;2026-09-10;Алексей;Создать отдельную папку экспериментов и попробовать новую рубку: продление3м за мачту, степс на крыше, вертикальное скруглённое остекление, поднятая крыша с наклонной ступенью для человека2м, много света и жёсткость;"EXP-001: эскизное предложение, исходники не менять; параметры трактовки и отсутствие обмеров раскрыть";USER_INSTRUCTION_NOT_DESIGN_APPROVAL;Прямое поручение в чате
D013;2026-09-10;Алексей;"Исправить вертикальные борта: сохранить крышу, расширить основание к палубе, поднять непрозрачный лоб примерно наполовину окна, добавить ещё3м низкой остеклённой надстройки вперёд с проходами по бортам; впереди форпик и якорное хозяйство; кокпит накрыть хардтопом";"Отдельный EXP-002, прежний эксперимент и оригиналы не менять; прочность и внутренняя вместимость не утверждены";USER_INSTRUCTION_NOT_DESIGN_APPROVAL;Прямая корректировка после просмотра EXP-001 в чате
D014;2026-09-10;Алексей;"Подтвердить замысел EXP-002; добавить 25см алюминиевого фальшборта с клюзами нос/мидель/корма, скос лба45°, тёмное стекло, скругления и законченные связи хардтопа с крышей и корпусом";"Отдельный EXP-003; подтверждение замысла не утверждает силовой проект";USER_INSTRUCTION_AND_CONCEPT_CONFIRMATION;Прямое поручение в чате после просмотра EXP-002
D015;2026-09-10;Алексей;"EXP-003 — хорошая стартовая версия; пока зафиксировать идею, сохранить и синхронизировать локально и с GitHub";"Принятие стартовой идеи; дальнейшие изменения отдельной итерацией; опубликованный EXP-003 неизменен";OWNER_ACCEPTED_STARTING_CONCEPT;experiments/decisions/2026-09-10-exp003-concept.md
D016;2026-09-10;Алексей;"Подготовить правильный для достройки яхты пустой шаблон будущей УТВ, структуру и разделы; далее постепенно заполнять на основании КАЦ и КП; привлечь агентов";"U01: структура и инструмент без цен/количеств; фактический бюджет пока не утверждён";USER_INSTRUCTION;Прямое поручение в чате после фиксации EXP-003
D017;2026-09-11;Алексей;"Сначала перечень МО; затем 3 ценовых уровня из открытых источников без НДС при неизменных количествах";M01 — перечень перед подбором цен;USER_INSTRUCTION;deliverables/M01/v001/01_support/owner-requirements.md
D018;2026-09-11;Алексей;"24 В DC / 220 В AC; все подруливающие и лебёдки гидравлические; АКБ 6 сервисных по «115 ампер», 2 генераторных, 1 пусковая; дистанционный резервный пуск от других АКБ";"Приоритет над PB/O02; Ah и напряжение одной АКБ открыты; схема пуска требует проверки";OWNER_REQUIREMENTS_RECORDED;deliverables/M01/v001/01_support/owner-requirements.md
D019;2026-09-11;Алексей;"Исправление: только24ВDC и220ВAC; отдельную12Всеть не добавлять";"Судовые сети; напряжение отдельных пусковыхАКБ пока открыто";OWNER_CORRECTION;deliverables/M02/v001/01_support/basis.md
D020;2026-09-11;Алексей;"Искать и анализировать цены всего перечняМО; компактность приоритетна из-за небольшогоМО";"M02: европейские открытыеценыNET, габариты и комплектность; неизменные количества";USER_INSTRUCTION;deliverables/M02/v001/01_support/basis.md
D021;2026-09-11;Алексей;Сравнивать полезный результат систем, а не одинаковость устройств;"M02: допускаются разные технические решения; ранее заданные количества сохраняются";OWNER_CLARIFICATION;deliverables/M02/v001/01_support/basis.md
D022;2026-09-11;Алексей;По возможности сохранять прямые ссылки на цены и скачивать PDF к КП;M02 и последующая КАЦ: URL, дата, тип документа и локальный архив PDF с SHA;OWNER_INSTRUCTION;deliverables/M02/v001/01_support/01_sources-and-files.md
D023;2026-09-11;Алексей;"Готовить рабочую КАЦ; проверить наличие двигателя Yanmar и генераторов Fischer Panda";"M03: включить марки в рассмотрение без выбора оборудования; фиксированные количества и полезный результат сохраняются";USER_INSTRUCTION;deliverables/M03/v001/01_support/00_readme.md
D024;2026-09-11;Алексей;Уточнение: почему не найден отдельный редуктор и остальные части Yanmar;"M04: выполнить отдельный ценовой поиск и разделить комплектный 8LV и bobtail 6LPA; не выбор двигателя";USER_CLARIFICATION;deliverables/M04/v001/00_yanmar-completeness.md
D025;2026-09-11;Алексей;Искать альтернативные источники и прямо указывать, откуда подставлена цена;"M05: рабочие цены с продавцом/URL/датой/налоговой основой и ограничениями; не заказ и не утверждённый бюджет";USER_INSTRUCTION;deliverables/M05/v001/00_price-substitutions.md
D026;2026-09-11;Алексей;Приступить к предложенному следующему шагу — ведомости комплектности силовой установки как основе точного запроса;"M06: раскрыть состав/включения/открытые вопросы, требования24В/резерв/PTO и вход для размещения; отправка сообщений не поручена";USER_INSTRUCTION;deliverables/M06/v001/01_support/00_readme.md
