item_id;equipment;quantity;unit;quantity_status;requirements;location_status;evidence;scope_note
ME-01;Главный морской дизель;1;шт;TARGET;"300 hp; согласованный рабочий рейтинг и обороты";МО;"EQ-001; brief21–33";Уточнить комплект поставки: редуктор, панель, проводка, опоры и штатные агрегаты
ME-02;Морской редуктор;1;шт;PROPOSED_DERIVED;"Под выбранный двигатель и валопровод; передаточное отношение не задано";МО;"EQ-002; brief24";"1 на единственную силовую линию — предлагаемое количество; не добавлять повторно к комплектному двигателю"
ME-03;Муфта, опоры, упорный узел и элементы валопровода;;;OPEN;Крутящий момент, соосность и восприятие упора по расчёту;МО / линия вала;"EQ-003/004; brief25–27";"Функциональная линия одна; числа подшипников/опор/уплотнений и комплектность не установлены"
ME-04;Дизель-генераторы в акустическом исполнении;2;шт;TARGET;"Каждый около11.5–12 kVA; сеть220VAC/50Hz; отдельные пуск/охлаждение/выхлоп";МО;"EQ-012/013; brief35–46";"Не заменять двумя меньшими или одним большим; капсула/опоры/контроллер могут быть включены"
ME-05;Основные инверторы-зарядные устройства;2;шт;ARCHITECTURE_TARGET;"24VDC /220VAC; мощность по балансу нагрузок";Отдельная электротехническая зона — место проверить;"EQ-024/025; brief48–60";"Цель dual-архитектуры; проверить распределение мощностей и допустимость параллельной работы"
ME-06;Независимое инверторное питание AC насоса пресной воды;1;канал;TARGET_FUNCTION;"24VDC→220VAC; сохранить воду при отказе общей инверторной системы";Электротехническая зона;"EQ-037; brief68";"РеестрO02 предлагает1 отдельный инвертор; brief допускает отдельное либо изолированное исполнение. Аппаратное исполнение выбрать одинаково для3вариантов"
ME-07;Пусковой аккумулятор главного двигателя;1;шт;OWNER_FIXED_COUNT;Напряжение, ёмкость и пусковой ток определить под стартер;Рядом с агрегатами / место проверить;"D018; EQ-020";"Один физический АКБ; дистанционное резервирование — ME-28"
ME-08;Сервисные аккумуляторы;6;шт;OWNER_FIXED_COUNT;"Сервисная сеть 24 VDC; по «115 ампер» каждый — единица ёмкости и напряжение одной АКБ ожидают уточнения";Отдельная батарейная/электротехническая зона;"D018; EQ-023";"Химия, соединение и суммарная ёмкость банка не установлены; BMS при применимости; пригодность к пуску проверить"
ME-09;Разделительный трансформатор / подготовка берегового питания;;;OPEN;"Сеть220V/50Hz; мощность по береговому вводу";Электротехническая зона;"EQ-026/027; brief54–55";Число аппаратов и мощность не фиксировать по случайно найденной цене
ME-10;Распределение AC/DC, переключение источников, зарядная и защитная автоматика;;;OPEN;Отдельная критическаяDCшина, управление нагрузкой и источниками;"Электротехническая зона; датчики вМО";"EQ-017/018/019/028/030/032/034/164; brief41–60";"Состав щитов/аппаратов/датчиков по однолинейной схеме; штатное включение в инверторы/генераторы не считать дважды"
ME-11;Напорная насосная установка пресной воды24VDC;1;установка;TARGET;"НезависимаяDCветвь; расход/напор по расчёту водопотребления";МО / отдельная техническая зона;"EQ-035; brief62–77";"Зафиксировано число установок; встроенный состав выбранного pump set должен быть сопоставим"
ME-12;Напорная насосная установка пресной воды220VAC;1;установка;TARGET;НезависимаяACветвь с резервным питаниемME-06;МО / отдельная техническая зона;"EQ-036; brief62–77";"Не заменять обе ветви одним насосом; расход/напор одинаковы в3сравнениях"
ME-13;Опреснитель обратного осмоса;1;установка;TARGET;"Номинально150л/ч; автоматическая промывка; контроль солёности и отвод некондиционной воды";МО / отдельная техническая зона;"EQ-043–048; brief79–86";"Насосы, предфильтры, панель и автоматика могут входить в установку; проверить гарантированные условия производительности"
ME-14;Бойлеры-калориферы ГВС;;;OPEN;"Нагрев от двигателя и220V; термостатическое смешение; объём не задан";Технические зоны — определить;"EQ-049–052; brief88–93";Два источника нагрева не означают два бойлера. Второй рассматривается, количество1или2 ещё не зафиксировано
ME-15;Независимые чиллерные модули кондиционирования;2;модуля;TARGET;"Раздельное отключение/сервис; ступенчатая работа; холодопроизводительность по тепловому расчёту";МО / климатическая техническая зона;"EQ-063/064; brief114–127";Во всех3вариантах2модуля с одинаковой требуемой холодопроизводительностью и резервированием
ME-16;Насосы, расширительные ёмкости и обвязка климатической системы;;;OPEN;"Циркуляция хладоносителя; морская вода; duty/standby по принятой схеме";МО / климатическая техническая зона;"EQ-065/066/075; brief115–127";Резервирование предложено где возможно, точное число насосов и независимость контуров пока не установлены
ME-17;Гидроаккумуляторы, коллекторы, фильтры, клапаны и рециркуляция ГВС;;;OPEN;Для двух водяных ветвей, опреснителя и ГВС;МО / водяная техническая зона;"EQ-038–042/044–048/051–052; brief70–93";"Разделить комплектные и внешние детали; количество по P&ID, рециркуляция по необходимости"
ME-18;Топливная фильтрация, подача, перекачка и отсечки;;;OPEN;"Дуплексная первичная фильтрация главного дизеля; обслуживание топлива и независимость генераторов";МО / топливная техническая зона;"EQ-006/007; brief28–29/41/229";"Дополнительная очистка/суточный танк условны; полное число фильтров и насосов не задано"
ME-19;Забортное охлаждение и выхлоп двигателя и генераторов;;;OPEN;"Раздельные функциональные контуры; фильтры, клапаны, антисифонные меры, водозамки/сепараторы";МО / проходы корпуса;"EQ-008/014–016; brief30/41";"Состав каждого контура по монтажным требованиям; не предполагать3одинаковых набора и не повторять штатные насосы"
ME-20;Осушение: локальные насосы, центральный аварийный, ручной и сигнализация;;;OPEN;Локальные зоны и независимое аварийное осушение;МО / другие отсеки;"EQ-117–123; brief214–221";"Количество по отсекам и схеме; отдельный привод аварийного насоса изучается, не считать двумя обязательными агрегатами"
ME-21;Стационарное пожаротушение и защита МО;;;OPEN;"Автоматическое тушение с ручным пуском; извещатели; дистанционные отсечки топлива/вентиляции";МО + внешние посты пуска;"EQ-124/125/126/129/130; brief223–230";"Заряд, баллоны, сопла и число датчиков по объёму/схеме; COпо применимости, не выбрать по цене до задания"
ME-22;Приточная и вытяжная вентиляция МО;;;OPEN;Тепловой баланс, воздух для двигателей, температурное управление и останов по пожару;МО / воздуховоды;"EQ-009; brief31/229/266–272";Число вентиляторов, расход, напор и шум пока не заданы
ME-23;Сервис МО: маслосмена, поддоны, освещение, контроль и сигнализация;;;OPEN;"Обслуживание3дизельных агрегатов; аварийное освещение и местный контроль";МО / мониторинг втехпосту;"EQ-010/011/031/130; brief33/58–60/202";"Сервисный насос/камеры/датчики по схеме; кабели и арматура отдельно от комплектов"
ME-24;Танки топлива/воды и их оснащение;;;INTERFACE_OPEN;Ёмкости, вентиляция и уровнемеры по проекту;Корпус / технические отсеки, не обязательноМО;"brief289; U01 W10.90/W50";"Встроенные сварные танки — корпусные работы, покупные — соответствующий пакет; не включать целиком вМО без компоновки"
ME-25;Санитарная забортная подача, насосы стоков и вентиляция танков;;;INTERFACE_OPEN;"Два режима смыва без загрязнения пресной воды; holding system";Санитарная техническая зона;brief95–112;"Унитазы и фанкойлы помещений не являются оборудованием внутриМО; санитарные насосы включать при принятом размещении"
ME-26;Резервное водяное отопление;;;CONDITIONAL;Четырёхсезонное отопление по выбранной архитектуре;Техническая зона — размещение открыто;"brief128; U01 W50.70";"Не обязательная покупка до решения; обратный цикл чиллеров и отдельное отопление не назначаются автоматически"
ME-27;Пусковые аккумуляторы генераторов;2;шт;OWNER_FIXED_COUNT;"По одному физическому АКБ на каждый генератор; напряжение и пусковой ток определить";Возле генераторов / место проверить;"D018; EQ-021/022";"Сохранить независимые пусковые цепи и зарядку; всего на яхте 9 АКБ по поручению"
ME-28;Дистанционная система резервного пуска;;;REQUIRED_BOM_OPEN;"Пуск от других исправных АКБ без обхода лодки; совместимость каждого источника требует проверки";"Силовая коммутация в технических зонах; управление с поста";D018;"Изоляция неисправного АКБ до подключения резерва перед пуском; контакторы, блокировки и защита по схеме; не добавлять десятый АКБ; переход после пуска проектировать отдельно"
ME-29;Гидросиловая установка и центральная обвязка;;;REQUIRED_BOM_OPEN;"Все подруливающие устройства и лебёдки гидравлические; давление, расход и одновременность по расчёту";МО / отдельная гидравлическая зона — размещение проверить;"D018; brief208–212";"Насосы и привод, бак, фильтры, охладитель, распределители, клапаны, контроль и трубопроводы; число компонентов открыто; проверить работу при остановленном главном двигателе"
