eq_id;system;item;target_quantity;unit;target_parameter;status;verification;source;proposed_zone;interface_ids;service_access;mass_kg;dimensions_mm;rated_electric_power_w;start_peak_w;daily_energy_wh;installed_state;procurement_state
EQ-001;PROPULSION;Главный дизель;1;шт/комплект — уточнить комплектность;300 hp;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-002;PROPULSION;Редуктор;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-003;PROPULSION;Валопровод подшипники уплотнение;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-004;PROPULSION;Муфта опоры и восприятие упора;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-005;PROPULSION;Гребной винт;UNKNOWN;шт/комплект — уточнить комплектность;"4 лопасти; тип исследовать";PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-006;PROPULSION;Дуплексная первичная топливная фильтрация;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-007;PROPULSION;Сервисный/дневной топливный узел;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;OPTION_TO_STUDY;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-008;PROPULSION;Мокрый выхлоп водозамок сепаратор;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-009;PROPULSION;Принудительная вентиляция машинного помещения;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-010;PROPULSION;Поддоны маслосмена сервисные соединения;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-011;PROPULSION;Сервисное освещение машинного помещения;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Propulsion;"M01 машинная зона у линии вала; HYPOTHESIS_NOT_POSITIONED";IF-01 IF-02 IF-03 IF-04;"Стороны обслуживания по GA изготовителя; снятие редуктора/двигателя отдельным маршрутом; доступ к фильтрам и уплотнению";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-012;GENERATION;Генератор №1;1;шт/комплект — уточнить комплектность;около 11.5–12 kVA;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Generator plant;"M02/M03 раздельные сервисные места генераторов; HYPOTHESIS_NOT_POSITIONED";IF-02 IF-03 IF-05 IF-06;"Крышки капсул полностью открываются; фильтры/ремни доступны; каждый агрегат извлекается независимо";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-013;GENERATION;Генератор №2;1;шт/комплект — уточнить комплектность;около 11.5–12 kVA;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Generator plant;"M02/M03 раздельные сервисные места генераторов; HYPOTHESIS_NOT_POSITIONED";IF-02 IF-03 IF-05 IF-06;"Крышки капсул полностью открываются; фильтры/ремни доступны; каждый агрегат извлекается независимо";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-014;GENERATION;Независимые забортные вводы фильтры запорная арматура генераторов;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Generator plant;"M02/M03 раздельные сервисные места генераторов; HYPOTHESIS_NOT_POSITIONED";IF-02 IF-03 IF-05 IF-06;"Крышки капсул полностью открываются; фильтры/ремни доступны; каждый агрегат извлекается независимо";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-015;GENERATION;Раздельные выхлопы и водоотделители генераторов;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Generator plant;"M02/M03 раздельные сервисные места генераторов; HYPOTHESIS_NOT_POSITIONED";IF-02 IF-03 IF-05 IF-06;"Крышки капсул полностью открываются; фильтры/ремни доступны; каждый агрегат извлекается независимо";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
