me_ids;system;required_result;fixed_quantity;open_output_parameters;comparison_criteria
ME-01|ME-02|ME-03;Ход яхты;Нужные скорость, тяга, длительная работа, манёвр и привод гидравлики;"1 двигатель; 1 редуктор предлагается";300 л.с. — исходный ориентир. Скорость, сопротивление, рабочий режим и PTO не рассчитаны;Расход на крейсерском ходу, установленная длина и масса, шум, обслуживание. Номинал 300 л.с. не доказывает одинаковый результат
ME-04;Генерация;"Питание нагрузок и заряд; согласованный уровень сервиса при отказе одного генератора";2 генератора;Около 11.5–12 кВА — исходный ориентир. Постоянные и пиковые нагрузки, режим отказа открыты;Полезные кВт в условиях МО, пуск нагрузок, шум на одинаковой нагрузке, расход топлива, доступ для сервиса
ME-05|ME-06|ME-09|ME-10;Электропитание;"24 В DC / 220 В AC; питание согласованных потребителей, переключение источников и сохранение воды при отказе общего инвертора";"2 основных инвертора; 1 независимая функция питания насоса";3 кВА — поисковый класс, не утверждённая мощность. Баланс и береговой ввод открыты;Непрерывная мощность при температуре МО, пуск потребителей, время заряда, потери, масса, габариты и резерв
ME-07|ME-08|ME-27|ME-28;АКБ и резервный пуск;Автономность сервисных нагрузок и запуск с поста управления при отказе пусковой АКБ;6 сервисных + 2 генераторных + 1 главного двигателя;Уточнение 115 ампер/А·ч и напряжения каждой АКБ ожидается. Пусковые токи, химия и допустимый разряд открыты;Доступная энергия при принятом разряде, пусковая способность резервных источников, ресурс и обслуживание. Одинаковые А·ч не достаточны
ME-11|ME-12|ME-17;Пресная вода;"Нужные напор и расход при согласованном числе открытых точек; работа резервной ветви";1 установка 24 В + 1 установка AC;Рабочая точка и одновременность водоразбора открыты. 15 л/мин при 2 бар — только поисковый пример;Напор в точке потребления, пульсации, шум, циклы включения, ресурс. Максимальный расход без напора не считать рабочим
ME-13;Опреснение;"150 л/ч воды нужного качества в заданных условиях; промывка и отвод некачественной воды";1 опреснитель;Температура, солёность и окончательная комплектация открыты;Энергия на литр, включённая автоматика, шум, размещение модулей, путь извлечения мембран и обслуживание
ME-14;Горячая вода;Нужный запас воды заданной температуры и восстановление после душей;Количество бойлеров не принято;40 л / 1200 Вт — рыночный пример, не заданная потребность;Полезный запас с подмешиванием, время нагрева, теплопотери, масса, форма и извлечение нагревателя
ME-15|ME-16|ME-26;Климат;"Комфортные температура и влажность по помещениям; допустимые шум и режим при отказе одного модуля";"2 чиллера; дополнительное отопление — опция";16 000 BTU/h на модуль — пример рынка. Тепловой расчёт и уровень сервиса при отказе открыты;Холодопроизводительность в одинаковых условиях, потребление, шум, насосы, управление, обвязка и сервисные зоны
ME-18|ME-19|ME-22|ME-23;Обеспечение МО;Надёжные подача топлива, выхлоп, охлаждение, вентиляция и обслуживание;Число элементов определяется выбранными системами;Диаметры, тепловыделение, напор, длины и комплектность открыты;Полная установленная система с защитами. Компактность должна сохранять доступ и допустимую температуру
ME-20|ME-21;Аварийные системы;Осушение расчётного поступления воды, обнаружение и тушение пожара;Число компонентов определяется расчётом;Отсеки, защищаемый объём и аварийные режимы открыты;Фактическая производительность, защищённость, доступ и независимость. Цена одного насоса/баллона не равна цене системы
ME-24|ME-25;Танки и стоки;Требуемые запасы, управляемое хранение и откачка стоков;Количество и объёмы открыты;Конструкция встроенных танков, уровни и маршруты доступа открыты;Полезный объём, гигиена, обслуживание, герметичность и масса. Заводской бак не равен изготовлению встроенного танка
ME-29;Гидравлика;Нужная тяга подруливающих и работа всех лебёдок, включая согласованные режимы при остановленном дизеле;"Гидропривод обязателен; число потребителей не принято";Тяга, момент, скорость, одновременность и источники мощности открыты;Полная стоимость до исполнительных функций, тепло, ток, шум, ресурс, PTO/резерв и объём сервисных зон
