id;status;scope;paths;finding;correction_or_limit
QA-01;PASS;Поручение и стадии;deliverables/O02/v001/00_office-launch.md|office/project.json;Общий план от требований к УТВ с итерациями и условиями перехода;Не является детальным проектом или ценой яхты
QA-02;PASS;Закрытое замечание;office/agent-office.md|deliverables/O02/v001/01_support/design/01_project-brief.md;Первоначально конфликт разрешения рыночной разведки с её приостановкой;Передан начальнику и исправлен — сейчас только технические каталоги без ценового поиска
QA-03;PASS;Самостоятельная подготовка;deliverables/O02/v001/01_support/design/01_project-brief.md;OWNER_CONFIRMED DESIGN_TARGET OPEN разделены и открытые параметры не требуют текущих вопросов владельцу;Последующие решения по УТВ остаются будущим этапом
QA-04;PASS;Визуальная проба GA;documentation/02-general-arrangement/7-1.pdf|deliverables/O02/v001/01_support/design/00_design-basis.md|docs/16-premium-builder-specification.md;На вновь отрендеренном оригинале три явных WC против четырёх целевых ensuite;Не утверждает невозможность четвёртого WC или соответствие реальному корпусу
QA-05;PASS;Хеши PDF;documentation/02-general-arrangement/7-1.pdf|documentation/03-rig-and-sails/8-1.pdf;Оба SHA256 совпали с DESIGN;Все реквизиты Sailplan визуально не проверены
QA-06;PASS;Структура CSV;deliverables/O02/v001/01_support/systems/equipment-register.csv|deliverables/O02/v001/01_support/systems/interface-register.csv;169 уникальных EQ и 26 IF без неразрешённых ссылок и с обратной связью EQ к IF;Число функциональных позиций не равно числу изделий
QA-07;PASS;Статусы систем;deliverables/O02/v001/01_support/systems/equipment-register.csv|deliverables/O02/v001/01_support/systems/00_systems-basis.md;Все 169 NOT_CHECKED и все пять числовых полей явно UNKNOWN;Нет утверждённого выбора или доказанного размещения
QA-08;PASS;Выборка исходных целей;docs/16-premium-builder-specification.md|deliverables/O02/v001/01_support/systems/equipment-register.csv;EQ001 EQ012 EQ013 EQ037 EQ043 EQ063 EQ064 сверены с исходным brief;Не заменяет полную техническую проверку 169 строк
QA-09;PASS;Коммерческий первоисточник;deliverables/O02/v001/01_support/commercial/preliminary-market-note.md|https://www.dessalator.fr/en/products/price-list/;Первичный прайс независимо подтверждает истечение31.08.2026 и транскрипцию двух исполнений;EXPIRED_PUBLISHED_PRICE не действующее КП
QA-10;PASS;Граница коммерческого этапа;deliverables/O02/v001/01_support/commercial/00_commercial-basis.md|deliverables/O02/v001/01_support/commercial/rfq-drafts.md;RFQ и предварительная разведка явно NOT_ACTIVE_STAGE;Отправка запросов и закупки не поручены
QA-11;PASS;Карточки подготовки;deliverables/O02/v001/01_support/design/learning-card.md|deliverables/O02/v001/01_support/systems/learning-card.md|deliverables/O02/v001/01_support/commercial/learning-card.md;Источники и упражнения отделены от квалификации;Рекомендован PRACTICE_CHECKED только для конкретных проверенных упражнений
QA-12;NOT_CHECKED;Геометрия и инженерия;documentation/01-hull-and-geometry/|deliverables/O02/v001/01_support/systems/;Обмеры CAD гидростатика прочность расчёты нагрузок и правил не выполнены проверяющим;Нельзя применять выпуск для изготовления или инженерного одобрения
QA-13;NOT_CHECKED;Полная закупочная база;deliverables/O02/v001/01_support/commercial/;Другие изготовители действующие КП налоги и сервис в Польше не перепроверены;Ранние карточки не подтверждают закупочную готовность
QA-14;NOT_CHECKED;Синхронизация;office/document-control.md;Commit и push не выполнялись проверяющим;Начальник проверяет финальную синхронизацию после приёмки
