package_id;title;me_ids;required_result;fixed_quantities;scope_to_complete;acceptance_basis;open_inputs
PK01;Ход яхты;ME-01|ME-02|ME-03;Нужные скорость, тяга, длительная работа, манёвр и привод гидравлики;"1 двигатель; 1 редуктор предлагается";"Двигатель и согласованный редуктор, заводские опоры, управление и жгуты; муфта, упорный узел, вал, дейдвуд, подшипники, уплотнение и согласованный движитель; монтаж, центровка, настройка и собственные испытания | Включения двигателя раскрыть по позициям | Внешнее топливо, охлаждение, выхлоп и вентиляция — PK09; гидронасос и его силовой привод — PK12; механическая совместимость PTO — интерфейс PK01/PK12";"Расход на крейсерском ходу, установленная длина и масса, шум, обслуживание. Номинал 300 л.с. не доказывает одинаковый результат. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";300 л.с. — исходный ориентир. Скорость, сопротивление, рабочий режим и PTO не рассчитаны. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK02;Генерация;ME-04;"Питание нагрузок и заряд; согласованный уровень сервиса при отказе одного генератора";2 генератора;"Два генераторных агрегата с согласованными капсулами, опорами, собственным управлением и заводским оснащением; монтаж, местная настройка и испытания каждого | Внешние независимые топливные, водяные и выхлопные ветви — PK09; силовое переключение, распределение и кабели — PK03; пусковые АКБ и резервные связи — PK04 | Параллельную работу не считать включённой по умолчанию";"Полезные кВт в условиях МО, пуск нагрузок, шум на одинаковой нагрузке, расход топлива, доступ для сервиса. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";Около 11.5–12 кВА — исходный ориентир. Постоянные и пиковые нагрузки, режим отказа открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK03;Электропитание;ME-05|ME-06|ME-09|ME-10;"24 В DC / 220 В AC; питание согласованных потребителей, переключение источников и сохранение воды при отказе общего инвертора";"2 основных инвертора; 1 независимая функция питания насоса";"Два основных инвертора/зарядных устройства, береговой ввод и развязка, AC/DC распределение, защиты и общесудовые питающие кабели до границ потребителей; контроль источников, заряд и отключение второстепенных нагрузок, критическое питание | ME-06: одна независимая функция питания AC водяной ветви при отказе гостиничного инвертора; отдельный третий инвертор не назначен | Монтаж, маркировка и электрические проверки | Пусковые силовые пути, изоляция АКБ и BMS — PK04";"Непрерывная мощность при температуре МО, пуск потребителей, время заряда, потери, масса, габариты и резерв. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";3 кВА — поисковый класс, не утверждённая мощность. Баланс и береговой ввод открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK04;АКБ и резервный пуск;ME-07|ME-08|ME-27|ME-28;Автономность сервисных нагрузок и запуск с поста управления при отказе пусковой АКБ;6 сервисных + 2 генераторных + 1 главного двигателя;"Девять физических АКБ по назначению; крепления и защитные объёмы, BMS по химии, батарейная и стартерная коммутация, силовые кабели до согласованных точек подключения PK03/стартеров, дистанционные контакторы, межблокировки и подтверждение состояния | Изоляция неисправной АКБ перед резервным пуском; местная блокировка обслуживания, питание управления и проверка всех разрешённых путей запуска | Зарядные устройства — PK03; независимость и настройки зарядки совместно PK03/PK04";"Доступная энергия при принятом разряде, пусковая способность резервных источников, ресурс и обслуживание. Одинаковые А·ч не достаточны. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";Уточнение 115 ампер/А·ч и напряжения каждой АКБ ожидается. Пусковые токи, химия и допустимый разряд открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK05;Пресная вода;ME-11|ME-12|ME-17;"Нужные напор и расход при согласованном числе открытых точек; работа резервной ветви";1 установка 24 В + 1 установка AC;"Одна установка 24 В и одна AC; независимые пути с выбором и изоляцией, гидроаккумуляторы, фильтры, обратные клапаны, коллекторы, магистрали до водоразбора и контроль давления | Общие узлы ME-17, включая термостатическое смешение и рециркуляцию ГВС при принятии, принадлежат PK05 | Подача на RO промывку и бойлер — интерфейсы PK06/PK07 | Комплектные фильтры RO — PK06; баки — PK11 | Опрессовка, промывка и проверка обоих режимов";"Напор в точке потребления, пульсации, шум, циклы включения, ресурс. Максимальный расход без напора не считать рабочим. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";Рабочая точка и одновременность водоразбора открыты. 15 л/мин при 2 бар — только поисковый пример. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK06;Опреснение;ME-13;"150 л/ч воды нужного качества в заданных условиях; промывка и отвод некачественной воды";1 опреснитель;"Один RO с подающим и высоким давлением по исполнению, мембранами, штатными фильтрами, контролем солёности и автоматическим отводом некондиционного продукта, промывкой и управлением | Внутренняя обвязка, крепления, монтаж и наладка; трассы забортной подачи и концентрата этой установки принадлежат PK06, не PK09 | Подача пресной воды на промывку — PK05; приёмный танк — PK11 | Проверить качество, производительность и все автоматические режимы";"Энергия на литр, включённая автоматика, шум, размещение модулей, путь извлечения мембран и обслуживание. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";Температура, солёность и окончательная комплектация открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK07;Горячая вода;ME-14;Нужный запас воды заданной температуры и восстановление после душей;Количество бойлеров не принято;"Бойлеры с электрическим и двигательным нагревом, штатной защитной арматурой, изоляцией, креплениями и сливом; теплоноситель от согласованного присоединения двигателя до бойлера и обратно | Монтаж, проверка нагрева и восстановления запаса | Число и объём не назначены | Термостатическое смешение и общая рециркуляция — PK05, не повторная покупка PK07; питание — PK03";"Полезный запас с подмешиванием, время нагрева, теплопотери, масса, форма и извлечение нагревателя. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";40 л / 1200 Вт — рыночный пример, не заданная потребность. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK08;Климат;ME-15|ME-16|ME-26;"Комфортные температура и влажность по помещениям; допустимые шум и режим при отказе одного модуля";"2 чиллера; дополнительное отопление — опция";"Два независимо изолируемых чиллерных модуля; шкафы и панели управления, согласованные фанкойлы по помещениям, гидравлические контуры холода и забортного охлаждения, насосы, фильтры, расширение, клапаны, трубная изоляция, воздухораспределение и дренаж конденсата; монтаж, балансировка и наладка | Все собственные HVAC водяные ветви — PK08, не PK09 | Дополнительное отопление ME-26 — отдельная опция с контуром и управлением, без автоматического назначения котла | Фанкойлы — явное расширение до результата, их количество открыто";"Холодопроизводительность в одинаковых условиях, потребление, шум, насосы, управление, обвязка и сервисные зоны. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";16 000 BTU/h на модуль — пример рынка. Тепловой расчёт и уровень сервиса при отказе открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK09;Обеспечение МО;ME-18|ME-19|ME-22|ME-23;Надёжные подача топлива, выхлоп, охлаждение, вентиляция и обслуживание;Число элементов определяется выбранными системами;"Общие и раздельные внешние топливные ветви двигателя/генераторов: фильтрация, подача, обратки, арматура и сервис; их забортное охлаждение, антисифонные меры, выхлоп и выходы; приток и вытяжка МО с каналами, заслонками и остановом по пожару | Маслосмена, поддоны, местные сервисные узлы и освещение с интерфейсом PK03 | Монтаж, изоляция, маркировка и испытания | Топливные танки и уровнемеры — PK11; заводские внутренние элементы агрегатов — PK01/PK02; отдельные RO/HVAC/гидравлические охладители и ветви — PK06/PK08/PK12";"Полная установленная система с защитами. Компактность должна сохранять доступ и допустимую температуру. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";Диаметры, тепловыделение, напор, длины и комплектность открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK10;Аварийные системы;ME-20|ME-21;Осушение расчётного поступления воды, обнаружение и тушение пожара;Число компонентов определяется расчётом;"Зональное и аварийное осушение с насосами, ручными средствами, трубами, арматурой, датчиками и независимой тревогой; пожарное обнаружение, стационарное тушение, ручной пуск и контроль готовности | Матрица остановов двигателя/генераторов и вентиляции, собственные исполнительные приводы пожарной отсечки топлива — PK10, корпуса топливной арматуры — PK09 | Монтаж и проверка сценариев, без необоснованного расходования заряда | Числа, защищаемый объём и тип агента открыты";"Фактическая производительность, защищённость, доступ и независимость. Цена одного насоса/баллона не равна цене системы. Единый согласованный режим и протокол проверки результата для слотов A/B/C; собственные монтажные испытания пакета отдельно от общесудовой приёмки.";Отсеки, защищаемый объём и аварийные режимы открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
