id;domain;lesson;source_refs;status;required_for_application;limit
"A01";"Гидростатика";"Масса и объёмное водоизмещение различены";"S01|S02|S04|S18";"Метод принят к дальнейшей работе";"Реальная геометрия и масса";"Не рассчитывать загрузку вычитанием рекламных весов"
"A02";"Остойчивость";"Проверять GZ и точки заливания по состояниям";"S04|S18";"Метод принят к дальнейшей работе";"Весовая ведомость; модель корпуса; отверстия";"GM не заменяет остойчивость при больших кренах"
"A03";"Танки";"Учитывать промежуточное заполнение и свободные поверхности";"S04";"Метод принят к дальнейшей работе";"Геометрия и сообщение танков";"Противоотливная перегородка не обязательно устраняет FSC"
"A04";"Динамика";"Рассматривать распределение инерции и ускорения";"S03|S07|S11|S12";"Методический перенос";"Геометрия; массы; условия волнения";"Критерии торгового/военного судна не назначены яхте"
"A05";"Ходкость";"VPP связывает силу парусов и сопротивление";"S05|S06";"Метод принят к дальнейшей работе";"Обмеры; вооружение; загрузки";"Рейтинговые льготы не равны физической прибавке скорости"
"A06";"Паруса";"Проверять рабочую форму и деформации";"S08|S09|S10";"Методический перенос";"Материал; форма; нагрузки; данные парусного бюро";"Модели парусов не воспроизведены"
"A07";"Парусные материалы";"Сравнивать ресурс и форму современных композитов";"S30|S31";"Кандидат для сравнения";"Гардероб и режим эксплуатации";"Бренд и конкретное исполнение не выбраны"
"A08";"Рангоут";"Сравнивать комплект с массой и силовыми связями";"S01|S05|S17";"Проектная рекомендация";"Расчёт рангоута и креплений";"Углепластик не утверждён"
"A09";"Двигатель";"Сохранить 300 л.с. как цель и проверить потребность";"S05|S06";"Требование brief без валидации";"Сопротивление; винт; редуктор; машинный отсек";"Подбор по длине или аналогу недостаточен"
"A10";"Корпус";"Учитывать сварное состояние и HAZ";"S14|S15|S17";"Метод принят к дальнейшей работе";"Сертификаты; замеры; обследование";"Готовый корпус не объявлен годным"
"A11";"Производство";"FSW применять только к обоснованным новым деталям";"S16";"Технология для сравнения";"Проект деталей и возможности подрядчика";"Не предлог заменить существующий корпус"
"A12";"Изоляция и покрытия";"Оценивать зонально и по полному узлу";"S15|S16|S23";"Проектная рекомендация";"Материалы; среда; образцы; доступ";"Неокрашенный алюминий не означает отсутствие защиты всех зон"
"A13";"Энергетика";"Отделять мощность от энергии и режимы автономности";"S19|S20|S21";"Метод принят к дальнейшей работе";"Почасовые нагрузки; запас и источники энергии";"Банк и генераторы не рассчитаны"
"A14";"Регенерация";"Оценивать выработку вместе с потерями хода";"S34|S05";"Кандидат для сравнения";"Кривая выработки и сопротивления при реальных скоростях";"Нет бесплатной или постоянной номинальной выработки"
"A15";"Резервирование";"Проверять общие причины отказа по всей цепи";"S21|LOCAL:docs/16-premium-builder-specification.md";"Инженерный синтез";"Схемы; сценарии отказов";"Два агрегата не доказывают независимость"
"A16";"Общая компоновка";"Сравнивать варианты в 3D с мебелью и доступом";"S26|S27|S28";"Метод принят к дальнейшей работе";"Модель внутреннего объёма";"Алгоритм из статьи не реализован"
"A17";"Каюты";"Проверять все положения трансформируемой мебели";"S26|LOCAL:docs/16-premium-builder-specification.md";"Проектная рекомендация";"Реальные размеры и эргономические макеты";"Требование 3+1 сохранено; размещение не подтверждено"
"A18";"Интерьер";"Сопоставлять облегчение; свет; хранение; ремонт";"S24|S25";"Кандидаты для сравнения";"Образцы узлов; вес; мокрые и ходовые режимы";"Планировки аналогов не копировать"
"A19";"Комфорт";"Считать климат и акустику одновременно с интерьером";"S24|S29";"Методический перенос";"Остекление; климат; тепловые и звуковые характеристики";"Число фанкойлов не задаёт необходимую холодопроизводительность"
"A20";"Наука и качество";"Проверять модели по сходимости и измерениям";"S08|S09|S33";"Метод принят к дальнейшей работе";"Исходники модели; чувствительность; эксперимент";"Красивое CFD поле не доказательство точности"
"A21";"Тенденции 2026";"Отделять дату события от индексирования и модельного года";"S06|S20|S25|S26|S32";"Дисциплина источников";"Датированный первичный документ";"Не называть старую технологию новинкой 2026"
"A22";"Крупное судостроение";"Заимствовать методы; проверять переносимость масштаба";"S03|S12|S22|S32";"Методический перенос";"Граница судна; нормы; эксплуатация";"SolidSail и WAPS не выбраны для VDS67"
