question_id;priority;issue;required_output;closure_owner;affected_packages;status
Q01;CRITICAL;Рабочая мощность и режим;"Сопротивление/скорость/рабочее водоизмещение; крейсерский и длительный режим, PTO-нагрузка; подобрать duty";"Проектировщик движения + OEM; эксплуатационный профиль владельца";PK01|PK12;OPEN
Q02;CRITICAL;24 В на дизельных агрегатах;"Подтверждённая OEM комплектация стартера/заряда/контроллеров на24В с артикулами, токами и гарантией; иначе иной кандидат";OEM двигателей и генераторов + электропроектировщик;PK01|PK02|PK04;OPEN
Q03;CRITICAL;Девять АКБ и резервный пуск;"Уточнить единицу115ампер/напряжение/химию/CCA; матрица каждого пути пуска и изоляция отказавшей АКБ; без изменения9физическихАКБ";"Владелец: исходные характеристики; электропроектировщик: схема";PK04;OWNER_INPUT_ALREADY_PENDING
Q04;CRITICAL;Нагрузки гидравлики и PTO;"Расход/давление/режим каждого потребителя; одновременность; доступная мощность на малых оборотах; работа при недоступном главном двигателе";Гидравлик + OEM + проектировщик движения;PK12|PK01|PK03;OPEN
Q05;CRITICAL;Редуктор и валопровод;"Передаточное отношение и обороты вала; винт по сопротивлению/зазорам; присоединения/упор/крутильные колебания";Проектировщик движения + поставщик трансмиссии;PK01;OPEN
Q06;CRITICAL;Документы точной поставки для ЕС;"Идентификация/год/состояние/декларации точного двигателя; применимость для достройки вПольше и выбранного режима эксплуатации";OEM + верфь/компетентный специалист по применимым требованиям;PK01|PK02;OPEN
Q07;HIGH;Полный состав и включения;"Позиционный BOM с артикулами/количествами/родительским пакетом; отдельно монтаж и исключения";Поставщики моторного пакета/генераторов/систем;ALL;OPEN
Q08;CRITICAL;Габариты и сервисные зоны;"GA/STEP точных поставок; действующие габариты6LPA; доступ/демонтаж/центры масс/эксплуатационные массы";OEM + компоновщик;PK01|PK02|PK12;OPEN
Q09;CRITICAL;Измеренный объём МО;"Сечения по шпангоутам, фундаменты, осьвала, настил/крыша, люки, путь извлечения, водолиния; сверка с корпусом";Верфь/обмерщик + компоновщик;G03|ALL;OPEN
Q10;HIGH;Полезная мощность и независимость двух генераторов;"Мощность при температуреМО, пуски нагрузок, 220/230Всовместимость; режим при отказе1генератора без предположения параллели";Электропроектировщик + Fischer Panda;PK02|PK03|PK09;OPEN
Q11;CRITICAL;Монтажные контуры и приёмка;"OEM пределы топлива/воды/выхлопа/вентиляции; схема относительно водолинии и крена; тесты/критерии/ответственные";Механик + верфь + OEM;PK09|PK10|PK01|PK02;OPEN
Q12;HIGH;Коммерческая поставка и налоги;"Датированное КПточнойкомплектации, NET/валюта, срокдействия, отправка/Incoterms/доставка/монтаж; покупательVATиимпортёр";"Закупки + поставщик; владелец/бухгалтер по покупателю";ALL;OPEN
